Participant.ID,X1..I.think.City.Council.should.consider.increasing.the.budget.for.the.following.service..select.one..,X2.1.Supports.environmental.and.climate.action,X2.2.Supports.truth..justice.and.reconciliation,X2.3.Makes.sure.everyone.in.Toronto.has.equitable.access.to.services.and.supports,X2.4.Makes.it.easier.to.get.around,X2.5.Supports.social..physical.and.mental.well.being,X2.6.Makes.life.easier.or.more.affordable,X2.7.Helps.build.the.economy..supports.businesses..job.creation.or.employment,X2.8.Makes.Toronto.safer,X2.9.Supports.the.city.s.development.and.prepares.for.future.growth,X2.10.This.is.a.fundamental.municipal.service,X2.11.Is.a.good.use.of.my.property.taxes.or.user.fees,X2.12.Other.,X2.13.Other.Text,X3..The.service.I.think.the.City.should.decrease.funding.to.is.,X4.1.The.money.should.go.to.another.program.or.service,X4.2.Enough.of.my.money.goes.to.this.service.already,X4.3.Benefits.some.Toronto.residents.more.than.others,X4.4.The.money.to.support.it.should.come.from.another.level.of.government,X4.5.The.City.should.not.deliver.this.service.anymore,X4.6.It.needs.to.be.more.effective.before.the.City.spends.more.money.on.this.service,X4.7.It.no.longer.meets.the.needs.of.Toronto.s.residents,X4.8.Other.,X4.9.Other.Text,X5..The.City.continues.to.fill.the.funding.gap.for.services.that.are.the.Provincial.Government.s.responsibilities..resulting.in.a..1.5.billion.budget.shortfall..These.services.should.be.properly.funded.by.them.including.housing..emergency.shelters..highways..public.safety..refugees.and.transit..Do.you.agree.that.the.provincial.government.should.step.up.and.pay.for.their.responsibilities.,X6..The.City.of.Toronto.continues.to.fill.the.gap.in.funding.for.services.that.are.within.the.Federal.Government.s.responsibilities.and.should.be.properly.funded.by.them..These.services.include.housing..transit..health.and.refugee.settlement....Do.you.agree.that.the.federal.government.should.step.up.and.pay.for.their.responsibilities.,X7.1.Meet.and.speak.with.my.local.Member.of.Provincial.Parliament..MPP..and.Member.of.Parliament..MP.,X7.2.Ask.friends.to.also.contact.their.MPP.and.MP.to.support.a.New.Deal,X7.3.Participate.in.the.provincial.budget.consultations,X7.4.Participate.in.the.federal.budget.consultations,X7.5.Sign.a.petition.to.the.provincial.and.federal.parliaments,X7.6.Other,X7.7.Other.Text,X8..Please.provide.the.first.three.characters.of.your.postal.code..e.g..M5H.,X9..What.is.your.age.,X10.1.Identify.as.Indigenous.to.Canada..First.Nations..Inuit.or.Metis.,X10.2.From.a.racialized.community,X10.3.New.to.Canada..less.than.5.years.,X10.4.Have.lived.experience.of.homelessness,X10.5.Member.of.the.2SLGBTQ..community,X10.6.Living.with.disability,X10.7.Low.income,X10.8.My.primary.language.is.not.English.or.French,X10.9.None.of.these.apply.to.me.or.prefer.not.to.answer,X10.10.Other,X10.11.Other.Text
dd9d52d00eeaa6975c1840a9829aff90,Employment and social services,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,,Animal services,NA,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,m4k,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
a49e76631f8c4f27b7470ed2c68e6697,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
103f3bb6995b8eaca0050105b9b6f71b,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7a03357f2a5bedc61426c4411c4b9238,Long-term care homes and services for seniors,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,,Animal services,1,NA,1,NA,NA,NA,NA,NA,,Undecided / Don’t Know,Undecided / Don’t Know,NA,NA,NA,NA,NA,1,unsure,L6C,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
835745a0263ffb0a7b02fdcd00caddcf,Parks and recreation,1,NA,1,NA,1,NA,NA,NA,NA,1,1,1,"Toronto parks should be beautiful, clean and well-maintained. Currently, they are not.",Police ,1,1,NA,NA,NA,1,NA,1,Police budgets keep growing and growing and there is no accountability. Police should focus on policing and let other professionals handle the rest.,Strongly agree,Strongly agree,1,NA,1,1,1,NA,,M5A,30-54,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
96bead31082d7f479cb24f98c8841ece,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
d6d8f5370846e5a2da135a2085c1c616,TTC and Wheel Trans ,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,,"Arts, culture, entertainment and attractions",1,1,NA,NA,NA,NA,NA,NA,,Agree,Undecided / Don’t Know,NA,NA,1,1,NA,NA,,M5H,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
e1819071bf1541fe87b2561ae7f11084,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
cfa7b188a4bd37c9089fd1f95d696a2a,Paramedics,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,,Parking ,NA,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,1,NA,NA,NA,NA,,L6Z,20–29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
9d760a8696ccbe80bb390acd9b742f62,Water treatment and distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,Building permits and inspections,NA,NA,1,NA,NA,NA,NA,NA,,Agree,Agree,NA,NA,1,NA,NA,NA,,M3H,30-54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
ab4d69e27ac02210e072a138a616d748,Employment and social services,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,Police ,1,NA,NA,NA,NA,1,1,NA,,Undecided / Don’t Know,Undecided / Don’t Know,NA,1,NA,NA,NA,NA,,M5H,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
890db698e989df9fbf11767e6bfac346,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
04cfadb49e3bea23c8c50360b509af00,Fire services,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,Having a human present in a timely manner in an emergency is very important to me. I value the role Toronto Fire Services plays in primary care and first response.,"Arts, culture, entertainment and attractions",1,1,1,1,NA,NA,NA,NA,,Strongly agree,Disagree,NA,NA,NA,NA,1,NA,,M2m,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
0e30613367efa81e94b8b6d7cc619def,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ed96702db0ef4dab30edcc70ca77405d,TTC and Wheel Trans ,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,,Police ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Agree,NA,1,NA,NA,1,NA,,M6B,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
b4061643da166865c18626912c1d34ac,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
b3da2293e30cc6ea5c2dc0053ee39a0b,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
c266ab4ebb616e70191c7ce02570ea06,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7b6fa1d4191f1ccaeeb6c13405bd630b,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
730c220b9868ac01d58b42f1917ecd05,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
71e8980ddc6ffeaa554f63a95278112b,Paramedics,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,"Community grants, partnerships and programs for youth",NA,NA,NA,1,NA,NA,NA,NA,,Agree,Agree,NA,NA,NA,NA,NA,1,None,M3H,Prefer not to answer,NA,1,NA,NA,NA,NA,NA,1,NA,NA,
aa49d8f2893acc8d61ac60fbcbbd72fa,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6bcea7d3e95a3649d736f54e8d81a555,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
a45c1f8e6b25973b48e5e0675290995c,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47e772fab45f538c648946dab555798a,Libraries,NA,1,1,NA,1,1,1,1,1,1,1,NA,,Police ,1,1,NA,NA,NA,1,1,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26c2dc936a2822e1847542971a38017b,Enforcement of bylaws and licensing ,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,"Community grants, partnerships and programs for youth",NA,NA,1,NA,NA,NA,NA,NA,,Undecided / Don’t Know,Undecided / Don’t Know,NA,1,NA,NA,NA,NA,,M5V,20–29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
08ecb7e14698f7ded4df5f9c1738e7dc,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ae6887f445ba153263b67ccdfaaf713b,Parks and recreation,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,Police ,1,NA,NA,NA,NA,NA,NA,1,No traffic enforcement.  Reckless driving everywhere.  Could the City contract with the OPP to provide this service and reduce TPS budget accordingly?,Strongly agree,Strongly agree,NA,NA,NA,NA,1,1,vote for a different party to represent Toronto,M5A,55-64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
f188995c053d6409e0ee44f9d934c628,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8cbfcd8cd3197d9cf3a8790a5265f1a0,Animal services,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,Enforcement of bylaws and licensing ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M4C,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
c033d4792e73895d298fe9cde56ffa47,"Garbage, recycling and green bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,Parking ,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1214d86de4035c21e53595326d5dee36,Police ,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,,"Maintaining roads, bike lanes and sidewalks",NA,NA,NA,NA,NA,NA,NA,1,"The City shouldn't be putting bike lanes everywhere.  Equity doesn't mean a bike lane on every road, it means a balance across the city.",Undecided / Don’t Know,Undecided / Don’t Know,NA,NA,NA,NA,NA,1,sdsf,M5N,Prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,asdf
9c3ceb22ff1d6bf311df1218043bbd29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
cb48d685876d2cca283b8b9cea12f96f,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7160766c8fdf85a78df1b378e7b3e025,Affordable housing and shelters ,1,1,1,NA,1,NA,1,1,1,1,1,NA,,Police ,1,1,NA,NA,NA,NA,1,1,Their budget is bloated and they are unaccountable.,Strongly agree,Strongly agree,NA,NA,1,1,1,NA,,m6p,30-54,NA,NA,NA,NA,1,1,NA,NA,NA,1,single parent
53552b628d7b51bf4ef18086d4f8966d,Building permits and inspections,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,,Promoting and supporting Toronto businesses,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M3H,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
469faf2b8252bc2462cc54552e3ae623,"Maintaining roads, bike lanes and sidewalks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
372971f06efea9ea8b51a2e519962d8b,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8c8c2111da7fc4e6dad107f9868efa2a,Long-term care homes and services for seniors,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,,"Arts, culture, entertainment and attractions",1,1,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,M9V,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
b982a8ca744395a06d7a634ea0adc25b,Affordable housing and shelters ,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,,Police ,1,1,1,NA,NA,1,1,NA,,Strongly agree,Strongly agree,1,1,NA,NA,1,NA,,m2n,30-54,NA,NA,NA,NA,1,1,NA,NA,NA,NA,
f7473b0a07928420b7dcb518c6bd888f,Parks and recreation,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,,Parking ,1,1,1,NA,NA,NA,NA,NA,,Undecided / Don’t Know,Strongly agree,1,NA,NA,1,1,NA,,M5v,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
013291d3f356d1664bb916fd407fd38a,Employment and social services,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,,Animal services,1,1,NA,NA,1,NA,1,NA,,Disagree,Strongly disagree,1,1,1,1,1,NA,,M5J,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
c878ef74e59f33df67ca12a96f3e9d3d,"Maintaining roads, bike lanes and sidewalks",1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,,Promoting and supporting Toronto businesses,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M1N,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
da9590db75e98f6dc9525883f276eba5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
b31d7293f1e2c31f3db6deef72f4da7d,Affordable housing and shelters ,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,,"Arts, culture, entertainment and attractions",NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2b4a1bb433dc7e93c1c81dae7e214401,Planning and development,NA,NA,1,1,NA,1,1,NA,1,1,NA,NA,,Parking ,1,1,1,NA,NA,NA,NA,NA,,Strongly disagree,Strongly disagree,1,1,NA,NA,NA,NA,,M5p,20–29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
6359e5a8c1f453ae58e83719e56b8e1d,Planning and development,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,,"Maintaining roads, bike lanes and sidewalks",NA,1,1,NA,1,1,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,1,k,m9b,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
296b25db1495c0a6ee5775d16bc2b35b,Long-term care homes and services for seniors,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,Enforcement of bylaws and licensing ,1,NA,NA,NA,NA,1,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M1p,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
0fff9ad3a6e2b33bb72524f643e7bf6f,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
08262305dc3185746b46c9b37fa5ac1a,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33dc5186368896684df920a15fe008b5,Building permits and inspections,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,"Arts, culture, entertainment and attractions",1,NA,NA,NA,NA,NA,NA,NA,,Agree,Agree,1,1,1,1,1,NA,,M5C,30-54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
cf4e76a0908e33bb467fcff588688f1d,TTC and Wheel Trans ,1,NA,1,1,NA,1,NA,NA,NA,1,1,NA,,Parking ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,NA,1,1,NA,NA,,M6s,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
b2bf09de0828fd62ffb0f7d88fb29da5,TTC and Wheel Trans ,NA,NA,1,1,NA,1,1,NA,NA,1,1,NA,,Police ,1,1,NA,NA,NA,NA,NA,1,Some policing functions belong in another type of unit e.g. traffic management and enforcement.,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,1,I am politically active online.,M4K,65 and over,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
63b58a215008d56279ac5b825ef0da7e,Environment and climate ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,Police ,1,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,Agree,NA,NA,NA,NA,1,NA,,m4k,30-54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
edcb55ebe2b11a65e246d794aa9d2186,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
cdd98c3eec8156b8e0d84bf26cea57a4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
b3fda164c29005d79926b3155f1523eb,Promoting and supporting Toronto businesses,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,,Environment and climate ,NA,NA,NA,1,NA,NA,NA,NA,,Agree,Agree,NA,NA,1,NA,NA,NA,,M6S,55-64,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
825e90b42dfdda57ea0ee283bc5b905c,TTC and Wheel Trans ,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,,Promoting and supporting Toronto businesses,1,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M5G,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
4bb6eacaeef5abf2b64c874a851d1937,"Garbage, recycling and green bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,Promoting and supporting Toronto businesses,NA,NA,NA,NA,1,NA,NA,NA,,Agree,Agree,1,NA,NA,NA,NA,NA,,M5M,65 and over,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Overtaxed Resident
95dc6f602c449b723c586f71f129c0e0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
